location,new_cases,MSE,RMSE,MAE,R2
Global,1091.43,66133095.13,1921.68,1573.4,-233.93
Brazil,39999.0,187840346.3443286,13705.485994459614,10830.048785197567,0.04984916845710119
China,424.0,157273.80238819047,396.5776120612338,373.08040902081746,-83.64763390605245
India,139666.0,6184622205.360304,78642.36902179578,64524.66687823582,-31.619245794419555
United States,76977.0,1306564648.9192452,36146.43341906979,32678.894478474333,-17.466463788350804
Vietnam,7.0,252.24696683317,15.882284685559883,12.171591440924335,-0.5744860478382954
