location,new_cases,MSE,RMSE,MAE,R2
Global,-16485450836664.37,1.1507216008491677e+29,21806072412027.74,16485450843743.07,-1.0437410848987014e+26
Brazil,-42330.0,14647834074.055445,121028.23668076572,87585.91790256486,-853.8754652065729
China,95.0,3727.590685187654,61.05399810976881,45.93207137109871,-0.2158518487635157
India,189529.0,45805624810.45206,214022.4866934595,180258.25524515525,-9033.771606167196
United States,160798.0,7315814723.498583,85532.53605206958,66952.50930090404,0.12542789741639482
Vietnam,-11568.0,781017198.7103935,27946.684932392134,24668.437862577208,-24.07294366570696
