Country,New Cases Predict,R-squared score,Mean Squared Error,Root Mean Squared Error,Mean Absolute Error
Global,2183.93,-163.13,137083328.77,3457.43,2684.12
Brazil,46430.0,-89.29919871664185,1547228495.4416308,39334.82547872344,38718.24367981754
China,92.0,0.3996139663123257,1840.679346720496,42.90313912431695,30.260596804273245
India,86180.0,-1529.1724080984457,7757861103.297739,88078.7210584812,78215.72020263417
United States,72442.0,-0.22326016801105442,10232598000.059261,101156.30479638558,65846.47720507464
Vietnam,3347.0,-2.870349350000576,120560610.9785359,10980.009607397249,9753.306010928962
