Country,New Cases Predict,R-squared score,Mean Squared Error,Root Mean Squared Error,Mean Absolute Error
Global,342.98,-10.89,30503715.18,1065.06,932.75
Brazil,12096.0,-4.796052272717649,1145852248.078531,33850.43940746606,27613.215922574134
China,417.0,-198.0902056847262,369906.0708659097,608.1990388564501,493.7887048908206
India,7767.0,-23.313348820452152,4609820777.259172,67895.6609604706,67427.78711832802
United States,21284.0,-13.997197479275682,1061102346.6032197,32574.565946505256,25058.87543937488
Vietnam,2.0,-0.02028074073418007,163.45824246702298,12.785078899522794,7.855148552352738
